"DNSHostName","InterfaceName","MACAddress","IPAddress","IPSubnet","DefaultIPGateway","DNSServerSearchOrder","DNSDomainSuffixSearchOrder"
"LabAPC","Ethernet 3","0E:D7:4B:86:A5:46","192.168.1.212","255.255.255.0","192.168.1.1","192.168.1.202 192.168.1.201","LabADDomain.com"
"LabCA","Ethernet 3","66:1E:45:EE:06:3D","192.168.1.211","255.255.255.0","192.168.1.1","192.168.1.202 192.168.1.201","LabADDomain.com"
"LabControlUp","Ethernet 3","26:05:5A:AF:8E:1B","192.168.1.209","255.255.255.0","192.168.1.1","192.168.1.202 192.168.1.201","LabADDomain.com"
"LabDC1","Ethernet 3","8A:CF:98:1E:0A:F9","192.168.1.201","255.255.255.0","192.168.1.1","192.168.1.202 127.0.0.1","LabADDomain.com"
"LabDC2","Ethernet 3","EE:DD:9C:8D:6E:F5","192.168.1.202","255.255.255.0","192.168.1.1","192.168.1.202 127.0.0.1","LabADDomain.com"
"LabFS","Ethernet 3","5E:F3:ED:35:67:52","192.168.1.203","255.255.255.0","192.168.1.1","192.168.1.202 192.168.1.201","LabADDomain.com"
"LabIGEL","Ethernet 3","E2:8E:F1:0A:B2:93","192.168.1.210","255.255.255.0","192.168.1.1","192.168.1.202 192.168.1.201","LabADDomain.com"
"LabMgmtPC","Ethernet 2","4A:05:D8:2A:F7:59","192.168.1.200","255.255.255.0","192.168.1.1","192.168.1.202 192.168.1.201","LabADDomain.com"
"LabSQL1","Ethernet 3","F2:5C:3B:B5:52:E5","192.168.1.204","255.255.255.0","192.168.1.1","192.168.1.202 192.168.1.201","LabADDomain.com"
"RASServer","Ethernet0","00:50:56:9F:EC:F6","192.168.1.220","255.255.255.0","192.168.1.1","192.168.1.202 192.168.1.201","LabADDomain.com"
"RASServer2","Ethernet0","00:50:56:9F:53:9A","192.168.1.221","255.255.255.0","192.168.1.1","192.168.1.202 192.168.1.201","LabADDomain.com"
"SQL1",,"02:5F:29:7F:3C:B5","169.254.1.15 fe80::3c4e:1d8e:3244:f4d1","255.255.0.0 64","","","LabADDomain.com"
"SQL1","Ethernet0","00:50:56:9F:3F:74","192.168.1.243 192.168.1.241","255.255.255.0 255.255.255.0","192.168.1.1","192.168.1.202 192.168.1.201","LabADDomain.com"
"SQL2",,"02:BA:4B:16:97:31","169.254.2.28 fe80::35d5:48c2:9a43:84ae","255.255.0.0 64","","","LabADDomain.com"
"SQL2","Ethernet0","00:50:56:9F:48:3D","192.168.1.242","255.255.255.0","192.168.1.1","192.168.1.202 192.168.1.201","LabADDomain.com"
"XA65","Local Area Connection","00:50:56:B2:79:90","192.168.1.233","255.255.255.0","192.168.1.1","192.168.1.202 192.168.1.201","LabADDomain.com"
